,fsq_id,categories,name,rating,bikestation_id
10513,5185b82c498e09b9a3fd0c7e,"[{'id': 13272, 'name': 'Ramen Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",Marutama Ra-men,8.3,f5e8fa1fc4252bda2f93dd27ed2d603f
10514,4af3ce83f964a52061ef21e3,"[{'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13263, 'name': 'Japanese Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}}]",Zakkushi Japanese Restaurant,8.0,f5e8fa1fc4252bda2f93dd27ed2d603f
10515,52e19f99498ee190912a3ff0,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",Pappa Roti,8.7,f5e8fa1fc4252bda2f93dd27ed2d603f
10516,531f860e498e932bf3c1ecfb,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",JJ Bean Coffee Roasters,8.2,f5e8fa1fc4252bda2f93dd27ed2d603f
10517,5117169ce4b0a8f49ffc02bd,"[{'id': 13125, 'name': 'Shanghai Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}]",Dinesty Chinese Restaurant,8.1,f5e8fa1fc4252bda2f93dd27ed2d603f
10518,4acfe023f964a52099d620e3,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}]",Starbucks,7.9,f5e8fa1fc4252bda2f93dd27ed2d603f
10519,5646ab13498e460c732920e8,"[{'id': 13272, 'name': 'Ramen Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}]",Ramen Danbo - Robson,9.1,f5e8fa1fc4252bda2f93dd27ed2d603f
10520,4ad687d0f964a520aa0721e3,"[{'id': 13289, 'name': 'Korean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/korean_', 'suffix': '.png'}}]",Sura,8.4,f5e8fa1fc4252bda2f93dd27ed2d603f
10521,50a6d03f29a6ae018b3f7fe0,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Forage,8.9,f5e8fa1fc4252bda2f93dd27ed2d603f
10522,4aa7f160f964a5201c4e20e3,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13051, 'name': 'Fish and Chips Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fishandchips_', 'suffix': '.png'}}, {'id': 13338, 'name': 'Seafood Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}}]",Cardero's Restaurant & Marine Pub,8.7,f5e8fa1fc4252bda2f93dd27ed2d603f
10523,4b197914f964a520f8dd23e3,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13051, 'name': 'Fish and Chips Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fishandchips_', 'suffix': '.png'}}]",Red Umbrella Cafe,7.8,f5e8fa1fc4252bda2f93dd27ed2d603f
10524,4aaaf960f964a520575820e3,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}, {'id': 13338, 'name': 'Seafood Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}}]",Konbiniya,8.8,f5e8fa1fc4252bda2f93dd27ed2d603f
10525,4aa8712bf964a520505120e3,"[{'id': 10000, 'name': 'Arts and Entertainment', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}}, {'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Score on Davie,8.7,f5e8fa1fc4252bda2f93dd27ed2d603f
10526,4aa97278f964a520b25320e3,"[{'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Blenz Coffee,7.4,f5e8fa1fc4252bda2f93dd27ed2d603f
10527,55b2fcbf498e0dc05d4ccbea,"[{'id': 13072, 'name': 'Asian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}}, {'id': 13289, 'name': 'Korean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/korean_', 'suffix': '.png'}}]",Kosoo Restaurant,7.8,f5e8fa1fc4252bda2f93dd27ed2d603f
10528,4b1b3a7af964a520dff923e3,"[{'id': 13134, 'name': 'Comfort Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13326, 'name': 'Poutine Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",La Belle Patate,8.5,f5e8fa1fc4252bda2f93dd27ed2d603f
10529,5613530b498ea051161f8998,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Cora Breakfast & Lunch,8.1,f5e8fa1fc4252bda2f93dd27ed2d603f
10530,4aebd797f964a520f6c421e3,"[{'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13035, 'name': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Take 5 Cafe,8.0,f5e8fa1fc4252bda2f93dd27ed2d603f
10531,4af4d559f964a520b1f621e3,"[{'id': 13139, 'name': 'Eastern European Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13329, 'name': 'Russian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/russian_', 'suffix': '.png'}}, {'id': 13374, 'name': 'Ukrainian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Ukrainian Village Restaurant,7.4,f5e8fa1fc4252bda2f93dd27ed2d603f
10532,503930c5e4b05a7a7146be85,"[{'id': 13302, 'name': 'Mediterranean Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mediterranean_', 'suffix': '.png'}}, {'id': 13317, 'name': 'Persian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",Zeitoon Restaurant,7.2,f5e8fa1fc4252bda2f93dd27ed2d603f
